imagem,indice,rotulo_real,v_mediana,s_mediana,razao_branco,razao_glare,razao_colorida,maior_blob_razao
IMG_0642.JPG,2,lisa,242.0,150.0,0.0,0.0,0.9447,0.9447
IMG_0642.JPG,3,lisa,250.0,153.0,0.0,0.0,0.9289,0.9289
IMG_0642.JPG,4,branca,235.0,55.0,0.4721,0.0,0.0254,0.0102
IMG_0642.JPG,5,listrada,215.0,75.0,0.1225,0.0,0.3834,0.3794
IMG_0642.JPG,6,listrada,221.0,71.0,0.3533,0.0032,0.388,0.3028
IMG_0642.JPG,7,lisa,105.0,146.0,0.0134,0.0,0.9262,0.9262
IMG_0642.JPG,8,lisa,209.0,149.0,0.0051,0.0,0.934,0.934
IMG_0642.JPG,9,preta,57.0,79.0,0.1015,0.0152,0.3909,0.3807
IMG_0642.JPG,10,listrada,224.0,54.0,0.5059,0.0,0.2925,0.2174
IMG_0642.JPG,11,listrada,157.0,85.0,0.3004,0.0593,0.4664,0.4111
IMG_0642.JPG,12,listrada,243.0,46.0,0.7114,0.0134,0.1342,0.1141
IMG_0642.JPG,13,lisa,93.0,187.0,0.0305,0.0203,0.8731,0.868
IMG_0642.JPG,14,lisa,81.0,106.0,0.0508,0.0914,0.6041,0.5939
IMG_0642.JPG,15,listrada,120.0,67.0,0.2819,0.0,0.4161,0.4027
IMG_0643.JPG,0,lisa,242.0,156.0,0.0,0.0,0.9763,0.9763
IMG_0643.JPG,1,listrada,250.0,71.0,0.3604,0.0,0.3147,0.3147
IMG_0643.JPG,2,listrada,237.0,118.0,0.0805,0.0,0.6711,0.6711
IMG_0643.JPG,3,lisa,222.0,150.0,0.0,0.0,0.9866,0.9866
IMG_0643.JPG,4,listrada,192.0,70.0,0.2925,0.0,0.3794,0.3439
IMG_0643.JPG,5,listrada,143.0,57.0,0.2846,0.0198,0.1621,0.1028
IMG_0643.JPG,6,listrada,179.0,63.0,0.4032,0.0079,0.3834,0.3834
IMG_0643.JPG,7,listrada,225.0,72.0,0.2618,0.0,0.4227,0.3912
IMG_0643.JPG,8,lisa,242.0,151.0,0.0,0.0,0.9605,0.9605
IMG_0643.JPG,9,lisa,75.0,113.0,0.0558,0.0863,0.6041,0.599
IMG_0643.JPG,10,listrada,109.0,86.0,0.1779,0.0,0.4625,0.4545
IMG_0643.JPG,11,lisa,110.0,151.0,0.0355,0.0,0.8376,0.8376
IMG_0643.JPG,12,lisa,94.0,191.0,0.0305,0.0,0.9086,0.9036
IMG_0643.JPG,13,preta,48.0,106.0,0.132,0.0558,0.5838,0.5787
IMG_0643.JPG,14,branca,254.0,56.0,0.4763,0.0,0.1798,0.1577
IMG_0644.JPG,0,lisa,238.0,157.0,0.0,0.0,0.9881,0.9881
IMG_0644.JPG,1,listrada,243.0,74.0,0.2741,0.0,0.3706,0.3706
IMG_0644.JPG,2,lisa,229.0,149.0,0.0,0.0,0.9054,0.9054
IMG_0644.JPG,3,listrada,99.0,74.0,0.2081,0.0152,0.4264,0.3959
IMG_0644.JPG,4,listrada,227.0,61.0,0.3241,0.0,0.3202,0.2964
IMG_0644.JPG,5,listrada,174.0,65.0,0.4071,0.0,0.4229,0.419
IMG_0644.JPG,6,lisa,219.0,157.0,0.0,0.0,0.9866,0.9866
IMG_0644.JPG,7,listrada,234.0,129.0,0.0604,0.0,0.698,0.698
IMG_0644.JPG,8,listrada,183.0,71.0,0.3399,0.0,0.3992,0.336
IMG_0644.JPG,9,listrada,127.0,48.0,0.2995,0.0254,0.0761,0.0305
IMG_0644.JPG,10,preta,49.0,102.0,0.1574,0.0102,0.5685,0.5685
IMG_0644.JPG,11,branca,252.0,55.0,0.4826,0.0,0.1735,0.164
IMG_0644.JPG,12,lisa,113.0,146.0,0.0406,0.0,0.8325,0.8274
IMG_0644.JPG,13,lisa,102.0,181.0,0.0152,0.0,0.8832,0.8782
IMG_0644.JPG,14,lisa,77.0,105.0,0.0761,0.0609,0.6142,0.6091
IMG_0645.JPG,0,branca,239.0,63.0,0.0305,0.0,0.1523,0.1472
IMG_0645.JPG,1,listrada,120.0,52.0,0.3147,0.0051,0.1878,0.0914
IMG_0645.JPG,2,lisa,236.0,146.0,0.0,0.0,0.9289,0.9289
IMG_0645.JPG,3,listrada,179.0,82.0,0.3202,0.0,0.4348,0.4348
IMG_0645.JPG,4,lisa,133.0,176.0,0.0203,0.0,0.9391,0.9391
IMG_0645.JPG,5,lisa,219.0,161.0,0.0,0.0,0.9558,0.9527
IMG_0645.JPG,6,listrada,241.0,100.0,0.066,0.0,0.5685,0.5635
IMG_0645.JPG,7,preta,58.0,110.0,0.1678,0.0,0.6174,0.6174
IMG_0645.JPG,8,listrada,232.0,110.0,0.1186,0.0,0.664,0.6522
IMG_0645.JPG,9,lisa,208.0,141.0,0.1015,0.0,0.736,0.7259
IMG_0645.JPG,10,lisa,109.0,140.0,0.047,0.0,0.8993,0.8993
IMG_0645.JPG,11,listrada,220.0,71.0,0.1472,0.0,0.3706,0.3706
IMG_0645.JPG,12,listrada,136.0,97.0,0.3655,0.0203,0.533,0.533
IMG_0645.JPG,13,listrada,133.0,81.0,0.253,0.004,0.419,0.4111
IMG_0645.JPG,14,lisa,61.0,140.0,0.0067,0.0,0.8859,0.8859
